Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
People,"Sex and Age","45 to 54 years",84339,"(+/- 2820 )",103410,"(+/- 6257 )",133160,"(+/- 2753 )",98879,"(+/- 3164 )",100960,"(+/- 5108 )",106504,"(+/- 4598 )",98018,"(+/- 6041 )",116937,"(+/- 4059 )",93014,"(+/- 7252 )",103901,"(+/- 6222 )",82192,"(+/- 2487 )",98080,"(+/- 4999 )",84086,"(+/- 2583 )",98866,"(+/- 3300 )",91843,"(+/- 3718 )",85838,"(+/- 2338 )",88177,"(+/- 4143 )",94563,"(+/- 6594 )",80268,"(+/- 2871 )",93468,"(+/- 4862 )",98295,"(+/- 5574 )",125739,"(+/- 4420 )",96573,"(+/- 5022 )",111637,"(+/- 6010 )",104733,"(+/- 5007 )",130064,"(+/- 4139 )",87849,"(+/- 3444 )",82486,"(+/- 4059 )",96422,"(+/- 6395 )",93262,"(+/- 5212 )",108239,"(+/- 2067 )",101424,"(+/- 5501 )",90368,"(+/- 4515 )",79861,"(+/- 3012 )",96011,"(+/- 6034 )",99923,"(+/- 5177 )"
People,"Sex and Age","55 to 59 years",45002,"(+/- 3131 )",47924,"(+/- 4129 )",55171,"(+/- 3024 )",52344,"(+/- 2989 )",46239,"(+/- 3057 )",49628,"(+/- 3860 )",42804,"(+/- 3429 )",55522,"(+/- 4948 )",46843,"(+/- 4272 )",46760,"(+/- 4116 )",48939,"(+/- 2935 )",48617,"(+/- 3386 )",46597,"(+/- 2332 )",53767,"(+/- 3267 )",37253,"(+/- 3027 )",42858,"(+/- 2852 )",42083,"(+/- 2830 )",41478,"(+/- 4012 )",41798,"(+/- 2226 )",45699,"(+/- 3789 )",51403,"(+/- 4026 )",49939,"(+/- 4319 )",38467,"(+/- 3400 )",52520,"(+/- 3841 )",51045,"(+/- 3201 )",50833,"(+/- 2752 )",48082,"(+/- 3515 )",37425,"(+/- 2421 )",41675,"(+/- 3591 )",45452,"(+/- 3597 )",46212,"(+/- 2525 )",52705,"(+/- 4062 )",37060,"(+/- 3408 )",34767,"(+/- 3125 )",46765,"(+/- 3954 )",51973,"(+/- 3152 )"
People,"Sex and Age","60 to 64 years",43635,"(+/- 3168 )",48181,"(+/- 3848 )",42426,"(+/- 2962 )",44617,"(+/- 2903 )",43558,"(+/- 3015 )",41480,"(+/- 3495 )",40673,"(+/- 3103 )",50120,"(+/- 3482 )",37538,"(+/- 3717 )",52841,"(+/- 4724 )",44792,"(+/- 2816 )",47581,"(+/- 3466 )",43821,"(+/- 1926 )",46409,"(+/- 3059 )",33531,"(+/- 2890 )",35127,"(+/- 2677 )",43054,"(+/- 2805 )",41894,"(+/- 3805 )",37850,"(+/- 2222 )",36353,"(+/- 3116 )",52277,"(+/- 3741 )",53900,"(+/- 4778 )",39175,"(+/- 3123 )",42984,"(+/- 4024 )",40815,"(+/- 2819 )",43769,"(+/- 3318 )",45913,"(+/- 3020 )",39832,"(+/- 3275 )",30503,"(+/- 3566 )",39860,"(+/- 3415 )",41480,"(+/- 2472 )",40694,"(+/- 3585 )",31440,"(+/- 3210 )",37146,"(+/- 3325 )",34521,"(+/- 3254 )",45248,"(+/- 3551 )"
People,"Sex and Age","65 to 74 years",68878,"(+/- 1825 )",58853,"(+/- 4521 )",60737,"(+/- 1434 )",72483,"(+/- 1759 )",58043,"(+/- 2592 )",59456,"(+/- 3254 )",52270,"(+/- 3893 )",70166,"(+/- 2645 )",52159,"(+/- 4397 )",61327,"(+/- 5008 )",67556,"(+/- 2236 )",61224,"(+/- 2830 )",60628,"(+/- 1574 )",61606,"(+/- 1893 )",49090,"(+/- 2713 )",51070,"(+/- 1473 )",56519,"(+/- 2652 )",48376,"(+/- 3770 )",55076,"(+/- 1962 )",48951,"(+/- 3463 )",80602,"(+/- 3509 )",60569,"(+/- 3898 )",57310,"(+/- 3418 )",50202,"(+/- 3754 )",65889,"(+/- 2963 )",57431,"(+/- 3025 )",67862,"(+/- 1947 )",53552,"(+/- 2461 )",36036,"(+/- 3225 )",49270,"(+/- 2889 )",62613,"(+/- 1213 )",61044,"(+/- 2928 )",40998,"(+/- 3668 )",53631,"(+/- 2200 )",51560,"(+/- 3447 )",67311,"(+/- 3274 )"
People,"Sex and Age","75 to 84 years",38383,"(+/- 2231 )",25401,"(+/- 3578 )",26693,"(+/- 1801 )",37694,"(+/- 1781 )",31800,"(+/- 2444 )",25108,"(+/- 2350 )",22190,"(+/- 2701 )",31025,"(+/- 2288 )",21493,"(+/- 2292 )",25643,"(+/- 3096 )",36507,"(+/- 2037 )",28516,"(+/- 2372 )",34308,"(+/- 1540 )",31264,"(+/- 2031 )",29895,"(+/- 2183 )",27549,"(+/- 1830 )",27208,"(+/- 2371 )",20567,"(+/- 2289 )",32854,"(+/- 1917 )",24411,"(+/- 2395 )",35345,"(+/- 3196 )",23868,"(+/- 2398 )",27855,"(+/- 2294 )",21839,"(+/- 1965 )",31797,"(+/- 2288 )",24843,"(+/- 1640 )",35993,"(+/- 2250 )",26020,"(+/- 2645 )",17555,"(+/- 2313 )",22568,"(+/- 1958 )",27441,"(+/- 1431 )",25530,"(+/- 2450 )",18193,"(+/- 1963 )",31598,"(+/- 2015 )",22216,"(+/- 2298 )",29559,"(+/- 2241 )"
People,"Sex and Age","85 years and over",13655,"(+/- 1901 )",8468,"(+/- 1704 )",7447,"(+/- 1451 )",13824,"(+/- 1579 )",11202,"(+/- 1530 )",9134,"(+/- 1212 )",11271,"(+/- 1775 )",11839,"(+/- 2001 )",8480,"(+/- 1811 )",10305,"(+/- 1766 )",14461,"(+/- 1692 )",13265,"(+/- 1989 )",12670,"(+/- 1269 )",10356,"(+/- 1595 )",8299,"(+/- 1570 )",12750,"(+/- 1548 )",12304,"(+/- 1848 )",6713,"(+/- 1332 )",11137,"(+/- 1397 )",11485,"(+/- 1641 )",16813,"(+/- 2217 )",9572,"(+/- 1701 )",10306,"(+/- 1556 )",8120,"(+/- 1459 )",11286,"(+/- 1560 )",7642,"(+/- 1985 )",13653,"(+/- 1957 )",9181,"(+/- 1394 )",6062,"(+/- 1334 )",6427,"(+/- 1506 )",11104,"(+/- 1408 )",12752,"(+/- 1813 )",5309,"(+/- 1103 )",9804,"(+/- 1494 )",7802,"(+/- 1273 )",9517,"(+/- 1714 )"
People,"Sex and Age","Median age (years)",37.2,"(+/- 0.4 )",36.1,"(+/- 0.9 )",37.3,"(+/- 0.3 )",38.5,"(+/- 0.6 )",36.1,"(+/- 0.7 )",35.3,"(+/- 0.6 )",34.5,"(+/- 0.8 )",37.1,"(+/- 0.5 )",32.9,"(+/- 0.7 )",35.2,"(+/- 0.6 )",35.2,"(+/- 0.4 )",35.1,"(+/- 0.6 )",36.2,"(+/- 0.5 )",36.9,"(+/- 0.5 )",31.2,"(+/- 0.7 )",32.8,"(+/- 0.4 )",33.2,"(+/- 0.5 )",32.4,"(+/- 0.7 )",33.1,"(+/- 0.3 )",32.0,"(+/- 0.6 )",37.8,"(+/- 0.8 )",36.0,"(+/- 0.4 )",33.3,"(+/- 0.7 )",35.8,"(+/- 0.5 )",36.4,"(+/- 0.8 )",35.5,"(+/- 0.4 )",37.1,"(+/- 0.5 )",31.7,"(+/- 0.5 )",30.5,"(+/- 0.7 )",32.8,"(+/- 0.7 )",34.8,"(+/- 0.2 )",36.4,"(+/- 0.8 )",30.0,"(+/- 0.6 )",32.0,"(+/- 0.8 )",32.5,"(+/- 0.8 )",37.8,"(+/- 0.8 )"
People,"Sex and Age","18 years and over",541631,"(+/- 3476 )",590662,"(+/- 16637 )",644164,"(+/- 4890 )",564097,"(+/- 5178 )",563134,"(+/- 8731 )",584839,"(+/- 11715 )",585453,"(+/- 15304 )",645664,"(+/- 10075 )",582710,"(+/- 17203 )",627207,"(+/- 15513 )",566329,"(+/- 5301 )",604554,"(+/- 12250 )",536600,"(+/- 3971 )",577314,"(+/- 5191 )",544959,"(+/- 7767 )",539898,"(+/- 4651 )",596588,"(+/- 8295 )",588786,"(+/- 19378 )",550264,"(+/- 4344 )",608989,"(+/- 13349 )",647325,"(+/- 12625 )",649259,"(+/- 11745 )",550223,"(+/- 13397 )",605245,"(+/- 9952 )",595115,"(+/- 11121 )",649744,"(+/- 8211 )",555555,"(+/- 5778 )",522110,"(+/- 8892 )",525713,"(+/- 17769 )",561673,"(+/- 13148 )",629982,"(+/- 3547 )",589534,"(+/- 11663 )",524020,"(+/- 14390 )",510767,"(+/- 7737 )",615876,"(+/- 15894 )",563450,"(+/- 11122 )"
People,"Sex and Age","65 years and over",120916,"(+/- 2349 )",92722,"(+/- 5495 )",94877,"(+/- 1811 )",124001,"(+/- 1805 )",101045,"(+/- 3535 )",93698,"(+/- 3958 )",85731,"(+/- 4942 )",113030,"(+/- 3149 )",82132,"(+/- 5086 )",97275,"(+/- 5695 )",118524,"(+/- 2376 )",103005,"(+/- 4437 )",107606,"(+/- 1702 )",103226,"(+/- 2224 )",87284,"(+/- 3956 )",91369,"(+/- 1820 )",96031,"(+/- 3564 )",75656,"(+/- 4582 )",99067,"(+/- 2270 )",84847,"(+/- 4401 )",132760,"(+/- 5282 )",94009,"(+/- 3867 )",95471,"(+/- 3693 )",80161,"(+/- 4659 )",108972,"(+/- 4250 )",89916,"(+/- 3398 )",117508,"(+/- 2703 )",88753,"(+/- 3818 )",59653,"(+/- 4488 )",78265,"(+/- 3607 )",101158,"(+/- 1169 )",99326,"(+/- 4142 )",64500,"(+/- 4449 )",95033,"(+/- 3159 )",81578,"(+/- 3964 )",106387,"(+/- 4162 )"
People,Race,"Total population",717376,"(+/- 4297 )",772262,"(+/- 22258 )",870763,"(+/- 5912 )",747188,"(+/- 6228 )",769579,"(+/- 11415 )",792043,"(+/- 16916 )",800081,"(+/- 24652 )",863498,"(+/- 14302 )",789535,"(+/- 24241 )",846261,"(+/- 22124 )",759467,"(+/- 6635 )",806551,"(+/- 16920 )",713480,"(+/- 5318 )",765031,"(+/- 6089 )",790730,"(+/- 12293 )",742384,"(+/- 6828 )",771567,"(+/- 9592 )",800402,"(+/- 27413 )",734202,"(+/- 5490 )",806372,"(+/- 20040 )",809322,"(+/- 15938 )",897080,"(+/- 16259 )",769276,"(+/- 18427 )",800103,"(+/- 13109 )",789825,"(+/- 14562 )",879237,"(+/- 10561 )",740277,"(+/- 7180 )",753502,"(+/- 13034 )",761833,"(+/- 26928 )",774443,"(+/- 19099 )",853799,"(+/- 6507 )",763452,"(+/- 14474 )",753565,"(+/- 20125 )",727595,"(+/- 10226 )",830041,"(+/- 23073 )",742474,"(+/- 14998 )"
People,Race,"One race",703472,"(+/- 5451 )",744383,"(+/- 22369 )",841402,"(+/- 7377 )",727854,"(+/- 7755 )",753676,"(+/- 11435 )",761888,"(+/- 17306 )",779139,"(+/- 24401 )",846243,"(+/- 14135 )",772275,"(+/- 24062 )",819169,"(+/- 20585 )",743396,"(+/- 6621 )",781790,"(+/- 16897 )",688601,"(+/- 6137 )",745141,"(+/- 8277 )",772787,"(+/- 14777 )",722616,"(+/- 7370 )",752559,"(+/- 9653 )",786313,"(+/- 27820 )",717365,"(+/- 6606 )",783592,"(+/- 19281 )",782717,"(+/- 16023 )",872636,"(+/- 16095 )",751446,"(+/- 19145 )",774029,"(+/- 13495 )",762271,"(+/- 14257 )",848359,"(+/- 11201 )",726725,"(+/- 7375 )",739235,"(+/- 12855 )",750870,"(+/- 27331 )",757930,"(+/- 19646 )",814020,"(+/- 8862 )",738316,"(+/- 13498 )",741901,"(+/- 20001 )",718386,"(+/- 10439 )",801712,"(+/- 22930 )",731302,"(+/- 14662 )"
People,Race,White,552624,"(+/- 5170 )",522695,"(+/- 18908 )",596600,"(+/- 7806 )",607184,"(+/- 7543 )",595147,"(+/- 13220 )",515052,"(+/- 15697 )",518089,"(+/- 19779 )",713846,"(+/- 12508 )",307132,"(+/- 19579 )",596955,"(+/- 18760 )",640080,"(+/- 7802 )",630953,"(+/- 15483 )",601574,"(+/- 7443 )",540561,"(+/- 10892 )",659057,"(+/- 17115 )",571370,"(+/- 14060 )",580432,"(+/- 10586 )",401002,"(+/- 19786 )",612852,"(+/- 7589 )",678705,"(+/- 17889 )",692055,"(+/- 18558 )",549421,"(+/- 15757 )",631195,"(+/- 18774 )",511962,"(+/- 11349 )",658522,"(+/- 12979 )",682926,"(+/- 10917 )",635866,"(+/- 6995 )",657044,"(+/- 14133 )",596785,"(+/- 26162 )",365513,"(+/- 16348 )",639222,"(+/- 7298 )",520153,"(+/- 13480 )",485868,"(+/- 22465 )",667801,"(+/- 11093 )",575889,"(+/- 18918 )",617008,"(+/- 16831 )"
People,Race,"Black or African American",126692,"(+/- 3567 )",93043,"(+/- 11934 )",85527,"(+/- 3415 )",76068,"(+/- 2642 )",111031,"(+/- 8153 )",171623,"(+/- 11335 )",115864,"(+/- 16767 )",78845,"(+/- 10542 )",290104,"(+/- 19109 )",89980,"(+/- 8853 )",28810,"(+/- 1847 )",70349,"(+/- 9072 )",38442,"(+/- 1859 )",152875,"(+/- 7206 )",15360,"(+/- 2004 )",26702,"(+/- 1911 )",99676,"(+/- 5458 )",276779,"(+/- 18481 )",45700,"(+/- 2392 )",41029,"(+/- 5421 )",31383,"(+/- 5858 )",118698,"(+/- 9676 )",26870,"(+/- 4305 )",101061,"(+/- 11315 )",53321,"(+/- 5318 )",69384,"(+/- 4874 )",38993,"(+/- 3314 )",35603,"(+/- 5353 )",90376,"(+/- 10986 )",333593,"(+/- 13494 )",97883,"(+/- 6904 )",112612,"(+/- 11651 )",113850,"(+/- 9395 )",8248,"(+/- 1302 )",85700,"(+/- 8775 )",71157,"(+/- 6632 )"
People,Race,"American Indian and Alaska Native",3530,"(+/- 1732 )",1809,"(+/- 919 )",3767,"(+/- 990 )",6609,"(+/- 1008 )",4052,"(+/- 1269 )",2775,"(+/- 1149 )",5289,"(+/- 2138 )",2907,"(+/- 1542 )",1473,"(+/- 959 )",3503,"(+/- 1807 )",5488,"(+/- 2697 )",5072,"(+/- 2294 )",5381,"(+/- 1107 )",4268,"(+/- 1656 )",2035,"(+/- 1186 )",3736,"(+/- 925 )",3812,"(+/- 1777 )",2294,"(+/- 1242 )",5875,"(+/- 1811 )",4913,"(+/- 1516 )",3922,"(+/- 2060 )",2090,"(+/- 1222 )",5703,"(+/- 2267 )",5044,"(+/- 2067 )",5109,"(+/- 2767 )",3318,"(+/- 1083 )",3087,"(+/- 1102 )",1678,"(+/- 845 )",3079,"(+/- 1480 )",1332,"(+/- 700 )",3786,"(+/- 1857 )",2326,"(+/- 966 )",3501,"(+/- 1446 )",2006,"(+/- 1109 )",5236,"(+/- 1998 )",5293,"(+/- 2207 )"
